aggregation;formula;dimension;layers;train_source;train_size_range;test_source;test_size_range;num_epochs;has_progress_log;final_train_acc;final_test_acc;acc_size_1-10;acc_size_11-20;acc_size_21-30;acc_size_31-40;acc_size_41-50;acc_size_51-60;acc_size_61-70;acc_size_71-80;acc_size_81-90;acc_size_91-100;acc_set_RG;acc_set_CG;acc_set_HC
max;psi_17;2;2;RG;1-50;RG;51-100;2000;TRUE;0,6903;0,796;;;;;;0,7726;0,7781;0,8154;0,792;0,8104;0,7685;0,5286;0,669
max;psi_17;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7361;0,7979;;;;;;0,7798;0,7781;0,8194;0,792;0,8104;0,7818;0,5307;0,7229
max;psi_17;4;4;RG;1-50;RG;51-100;2000;TRUE;0,7468;0,7981;;;;;;0,778;0,7797;0,8194;0,7931;0,8104;0,7848;0,868;0,7555
max;psi_17;5;5;RG;1-50;RG;51-100;2000;TRUE;0,7079;0,796;;;;;;0,7726;0,7781;0,8154;0,792;0,8104;0,7731;0,5286;0,7024
max;psi_18;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9077;0,9992;;;;;;0,9964;1;0,9987;1;1;0,9754;0,3784;0,8489
max;psi_18;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8421;0,9971;;;;;;0,9928;1;0,9987;1;0,9936;0,9568;0,3784;0,7183
max;psi_18;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9069;0,9992;;;;;;0,9964;1;0,9987;1;1;0,9752;0,3784;0,8495
max;psi_18;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9199;0,9995;;;;;;0,9964;1;1;1;1;0,9788;0,4307;0,8639
max;psi_18;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9298;0,9995;;;;;;0,9964;1;1;1;1;0,9814;0,4307;0,8797
max;psi_19;2;2;RG;1-50;RG;51-100;2000;TRUE;0,6362;0,7237;;;;;;0,7022;0,7211;0,7089;0,7352;0,7394;0,701;0,7578;0,5712
max;psi_19;3;3;RG;1-50;RG;51-100;2000;TRUE;0,6346;0,7234;;;;;;0,7004;0,7211;0,7089;0,7352;0,7394;0,7004;0,7578;0,5588
max;psi_19;4;4;RG;1-50;RG;51-100;2000;TRUE;0,6766;0,7242;;;;;;0,7022;0,7211;0,7116;0,7352;0,7394;0,7119;0,4716;0,638
max;psi_19;5;5;RG;1-50;RG;51-100;2000;TRUE;0,6423;0,7253;;;;;;0,713;0,7149;0,7116;0,7352;0,7415;0,7037;0,3574;0,6314
max;psi_19;6;6;RG;1-50;RG;51-100;2000;TRUE;0,6392;0,7234;;;;;;0,7004;0,7211;0,7089;0,7352;0,7394;0,7015;0,7578;0,5736
