aggregation;formula;dimension;layers;train_source;test_source;num_epochs;has_progress_log;final_train_acc;final_test_acc;acc_size_1-10;acc_size_11-20;acc_size_21-30;acc_size_31-40;acc_size_41-50;acc_size_51-60;acc_size_61-70;acc_size_71-80;acc_size_81-90;acc_size_91-100;acc_set_RG;acc_set_CG;acc_set_HC
max;psi_1;2;2;RG;RG;365;TRUE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
max;psi_1;2;2;RG;RG;303;TRUE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
max;psi_1;3;3;RG;RG;2000;TRUE;0,9885;0,9893;0,7812;0,9565;0,9453;0,9733;0,9956;1;1;1;1;0,9917;0,9889;0,9461;0,9552
max;psi_1;4;4;RG;RG;1122;TRUE;0,998;1;1;1;1;1;1;1;1;1;1;1;0,999;0,999;0,9883
max;psi_2;2;2;RG;RG;1315;TRUE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
max;psi_2;3;3;RG;RG;2000;TRUE;0,9662;0,9585;0,9062;0,8551;0,8516;0,861;0,9563;0,942;0,991;0,9654;0,9952;0,9938;0,9623;0,6372;0,8961
max;psi_2;4;4;RG;RG;1734;TRUE;0,9996;1;1;1;1;1;1;1;1;1;1;1;0,9998;1;0,999
max;psi_2;5;5;RG;RG;1055;TRUE;0,9992;0,9988;1;0,971;0,9922;1;1;1;1;1;1;1;0,999;0,9976;0,9964
max;psi_3;2;2;RG;RG;2000;TRUE;0,9877;0,9794;0,8438;0,8116;0,9531;0,877;1;0,9819;1;1;1;1;0,9836;1;0,9484
max;psi_3;3;3;RG;RG;2000;TRUE;0,9877;0,9794;0,8438;0,8116;0,9531;0,877;1;0,9819;1;1;1;1;0,9836;1;0,9484
max;psi_3;4;4;RG;RG;2000;TRUE;0,9877;0,9794;0,8438;0,8116;0,9531;0,877;1;0,9819;1;1;1;1;0,9836;1;0,9484
max;psi_3;5;5;RG;RG;2000;TRUE;0,9877;0,9794;0,8438;0,8116;0,9531;0,877;1;0,9819;1;1;1;1;0,9836;1;0,9484
max;psi_3;6;6;RG;RG;2000;TRUE;0,9877;0,9794;0,8438;0,8116;0,9531;0,877;1;0,9819;1;1;1;1;0,9836;1;0,9484
max;psi_4;2;2;RG;RG;2000;TRUE;0,9325;0,9122;1;0,8986;0,8047;0,9037;0,8341;0,9167;0,9219;0,9016;0,9353;0,9563;0,9223;0,8356;0,919
max;psi_4;3;3;RG;RG;2000;TRUE;0,9325;0,9122;1;0,8986;0,8047;0,9037;0,8341;0,9167;0,9219;0,9016;0,9353;0,9563;0,9223;0,8356;0,919
max;psi_4;4;4;RG;RG;2000;TRUE;0,9325;0,9122;1;0,8986;0,8047;0,9037;0,8341;0,9167;0,9219;0,9016;0,9353;0,9563;0,9223;0,8356;0,919
max;psi_4;5;5;RG;RG;2000;TRUE;0,9325;0,9122;1;0,8986;0,8047;0,9037;0,8341;0,9167;0,9219;0,9016;0,9353;0,9563;0,9223;0,8356;0,919
max;psi_4;6;6;RG;RG;1716;TRUE;0,9992;0,9972;1;1;0,9844;1;0,9956;1;0,988;1;1;1;0,9982;0,9419;0,9927
max;psi_5;2;2;RG;RG;2000;TRUE;0,9952;0,9941;0,8125;0,913;0,9844;0,9947;1;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;3;3;RG;RG;2000;TRUE;0,9952;0,9941;0,8125;0,913;0,9844;0,9947;1;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;4;4;RG;RG;2000;TRUE;0,9952;0,9941;0,8125;0,913;0,9844;0,9947;1;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;5;5;RG;RG;2000;TRUE;0,9952;0,9941;0,8125;0,913;0,9844;0,9947;1;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;6;6;RG;RG;2000;TRUE;0,9952;0,9941;0,8125;0,913;0,9844;0,9947;1;1;1;1;1;1;0,9946;1;0,9532
max;psi_6;2;2;RG;RG;2000;TRUE;0,938;0,9391;0,9688;0,8406;0,8984;0,7701;0,8865;0,8696;0,955;0,9761;1;1;0,9386;0,9087;0,9141
max;psi_6;3;3;RG;RG;2000;TRUE;0,938;0,9391;0,9688;0,8406;0,8984;0,7701;0,8865;0,8696;0,955;0,9761;1;1;0,9386;0,9087;0,9141
max;psi_6;4;4;RG;RG;2000;TRUE;0,938;0,9391;0,9688;0,8406;0,8984;0,7701;0,8865;0,8696;0,955;0,9761;1;1;0,9386;0,9087;0,9141
max;psi_6;5;5;RG;RG;2000;TRUE;0,938;0,9391;0,9688;0,8406;0,8984;0,7701;0,8865;0,8696;0,955;0,9761;1;1;0,9386;0,9087;0,9141
max;psi_6;6;6;RG;RG;2000;TRUE;0,938;0,9391;0,9688;0,8406;0,8984;0,7701;0,8865;0,8696;0,955;0,9761;1;1;0,9386;0,9087;0,9139
max;psi_7;6;6;RG;RG;2000;TRUE;0,6962;0,7041;0,75;0,971;1;0,9947;1;1;0,3994;1;0,4053;0,3992;0,7002;0,1476;0,7209
max;psi_7;7;7;RG;RG;2000;TRUE;0,7014;0,7065;0,8438;1;1;1;1;1;0,3994;1;0,4053;0,3992;0,7039;0,8046;0,7529
max;psi_7;8;8;RG;RG;2000;TRUE;0,9976;0,981;0,8125;0,7536;0,9297;0,9947;1;1;0,985;0,9894;0,9928;0,9938;0,9893;0,7058;0,7843
max;psi_7;9;9;RG;RG;2000;TRUE;0,8987;0,8493;0,7812;0,9275;1;0,9947;1;1;0,4024;1;0,6091;0,9875;0,874;0,7058;0,8321
max;psi_7;10;10;RG;RG;2000;TRUE;0,9249;0,8153;0,9375;1;1;1;1;1;0,5375;1;0,4844;0,8004;0,87;0,7058;0,8015
max;psi_8;6;6;RG;RG;2000;TRUE;0,9972;0,9893;1;0,942;0,9219;0,9305;1;1;1;1;1;1;0,9933;0,9362;0,9678
max;psi_8;7;7;RG;RG;1350;TRUE;0,9988;0,9949;1;0,9565;0,9688;0,9679;1;1;1;1;1;1;0,9968;1;0,9854
max;psi_8;8;8;RG;RG;2000;TRUE;0,9702;0,9513;0,7188;0,6522;0,7109;0,7701;0,9782;0,9819;1;1;1;1;0,9608;1;0,8856
max;psi_8;9;9;RG;RG;1985;TRUE;0,9988;0,9953;1;1;0,9375;0,9786;1;1;1;1;1;1;0,997;0,9407;0,9899
max;psi_8;10;10;RG;RG;2000;TRUE;0,9905;0,9731;1;0,8696;0,8828;0,8182;0,9782;0,9819;1;1;1;1;0,9818;1;0,9496
max;psi_9;2;2;RG;RG;2000;TRUE;0,8447;0,8295;1;0,942;0,8906;0,8021;0,8079;0,8116;0,7898;0,8298;0,7938;0,8753;0,8371;0,9712;0,8999
max;psi_9;3;3;RG;RG;2000;TRUE;0,805;0,7892;1;0,9565;0,8828;0,7701;0,7249;0,6703;0,7598;0,8032;0,7602;0,8669;0,7971;0,9642;0,873
