aggregation;formula;dimension;layers;train_source;train_size_range;test_source;test_size_range;num_epochs;has_progress_log;final_train_acc;final_test_acc;acc_size_1-10;acc_size_11-20;acc_size_21-30;acc_size_31-40;acc_size_41-50;acc_size_51-60;acc_size_61-70;acc_size_71-80;acc_size_81-90;acc_size_91-100;acc_set_RG;acc_set_CG;acc_set_HC
max;psi_1;2;2;RG;1-50;RG;51-100;219;TRUE;1;1;;;;;;1;1;1;1;1;1;1;1
max;psi_1;2;2;RG;1-50;RG;51-100;782;TRUE;0,9908;1;;;;;;1;1;1;1;1;0,9976;1;0,9931
max;psi_1;3;3;RG;1-50;RG;51-100;486;TRUE;1;1;;;;;;1;1;1;1;1;1;1;1
max;psi_1;4;4;RG;1-50;RG;51-100;1617;TRUE;0,9969;1;;;;;;1;1;1;1;1;0,9992;1;0,9957
max;psi_2;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9497;0,996;;;;;;0,9928;0,9969;0,9892;0,9988;1;0,9839;1;0,9297
max;psi_2;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9878;0,9992;;;;;;0,9964;1;1;0,9988;1;0,9962;1;0,9923
max;psi_2;4;4;RG;1-50;RG;51-100;2000;TRUE;0,7849;0,977;;;;;;0,9404;0,9815;0,969;0,9976;0,9831;0,9271;0,6137;0,6875
max;psi_2;5;5;RG;1-50;RG;51-100;1845;TRUE;0,9947;1;;;;;;1;1;1;1;1;0,9986;1;0,999
max;psi_3;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;1;0,9484
max;psi_3;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;1;0,9484
max;psi_3;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9641;0,9989;;;;;;0,9928;1;1;1;1;0,9899;1;0,9822
max;psi_3;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;1;0,9484
max;psi_3;6;6;RG;1-50;RG;51-100;1283;TRUE;0,9924;1;;;;;;1;1;1;1;1;0,998;1;0,9891
max;psi_4;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8802;0,9357;;;;;;0,917;0,9045;0,9313;0,9444;0,964;0,9213;0,785;0,9064
max;psi_4;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8772;0,9357;;;;;;0,917;0,9045;0,9313;0,9444;0,964;0,9205;0,8356;0,902
max;psi_4;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9809;0,9759;;;;;;0,9368;0,9723;0,965;1;0,9883;0,9772;0,7003;0,9615
max;psi_4;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8841;0,9357;;;;;;0,917;0,9045;0,9313;0,9444;0,964;0,9223;0,8356;0,919
max;psi_4;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9931;0,9831;;;;;;0,9747;0,9753;0,9677;0,9965;0,9936;0,9857;0,9994;0,9791
max;psi_5;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;1;0,9532
max;psi_5;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9786;1;;;;;;1;1;1;1;1;0,9945;0,9935;0,9516
max;psi_5;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;1;0,9532
max;psi_6;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8635;0,9649;;;;;;0,8773;0,9461;0,9879;0,9929;0,9862;0,9386;0,9087;0,9141
max;psi_6;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8635;0,9649;;;;;;0,8773;0,9461;0,9879;0,9929;0,9862;0,9386;0,9087;0,9141
max;psi_6;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8635;0,9649;;;;;;0,8773;0,9461;0,9879;0,9929;0,9862;0,9386;0,9087;0,9141
max;psi_6;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8635;0,9649;;;;;;0,8773;0,9461;0,9879;0,9929;0,9862;0,9386;0,9087;0,9141
max;psi_6;6;6;RG;1-50;RG;51-100;1814;TRUE;0,9931;1;;;;;;1;1;1;1;1;0,9982;1;0,9957
max;psi_7;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9207;0,6059;;;;;;1;0,6918;0,7102;0,1998;0,5975;0,6877;0,4732;0,6848
max;psi_7;7;7;RG;1-50;RG;51-100;2000;TRUE;0,9619;0,6059;;;;;;1;0,6918;0,7102;0,1998;0,5975;0,6984;0,314;0,6905
max;psi_7;8;8;RG;1-50;RG;51-100;2000;TRUE;0,9718;0,6059;;;;;;1;0,6918;0,7102;0,1998;0,5975;0,701;0,314;0,7474
max;psi_7;9;9;RG;1-50;RG;51-100;2000;TRUE;0,9252;0,6059;;;;;;1;0,6918;0,7102;0,1998;0,5975;0,6889;0,314;0,6931
max;psi_7;10;10;RG;1-50;RG;51-100;2000;TRUE;0,9382;0,6059;;;;;;1;0,6918;0,7102;0,1998;0,5975;0,6922;0,314;0,6423
max;psi_8;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9153;1;;;;;;1;1;1;1;1;0,978;1;0,9251
max;psi_8;7;7;RG;1-50;RG;51-100;2000;TRUE;0,9619;1;;;;;;1;1;1;1;1;0,9901;1;0,9558
max;psi_8;8;8;RG;1-50;RG;51-100;2000;TRUE;0,9626;1;;;;;;1;1;1;1;1;0,9903;1;0,9816
max;psi_8;9;9;RG;1-50;RG;51-100;819;TRUE;0,942;1;;;;;;1;1;1;1;1;0,9849;1;0,9567
max;psi_8;10;10;RG;1-50;RG;51-100;459;TRUE;0,9954;1;;;;;;1;1;1;1;1;0,9988;1;0,9947
max;psi_9;2;2;RG;1-50;RG;51-100;2000;TRUE;0,7521;0,2726;;;;;;0,4224;0,3405;0,2466;0,2766;0,1547;0,3971;0,9642;0,7851
max;psi_9;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7521;0,2726;;;;;;0,4224;0,3405;0,2466;0,2766;0,1547;0,3971;0,9642;0,7851
max;psi_9;4;4;RG;1-50;RG;51-100;2000;TRUE;0,7521;0,2726;;;;;;0,4224;0,3405;0,2466;0,2766;0,1547;0,3971;0,9642;0,7851
max;psi_9;5;5;RG;1-50;RG;51-100;2000;TRUE;0,7521;0,2726;;;;;;0,4224;0,3405;0,2466;0,2766;0,1547;0,3971;0,9642;0,7851
max;psi_10;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,8147;0,9796;0,9093
max;psi_10;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,8147;0,9796;0,9093
max;psi_10;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,8147;0,9796;0,9093
max;psi_10;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,8147;0,9796;0,9093
max;psi_11;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8612;0,9898;;;;;;0,9585;0,9908;0,9919;0,9976;0,9989;0,9564;0,1836;0,7636
max;psi_11;3;3;RG;1-50;RG;51-100;2000;TRUE;0,897;1;;;;;;1;1;1;1;1;0,9732;0,3596;0,7513
max;psi_11;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8986;1;;;;;;1;1;1;1;1;0,9736;0,3521;0,7393
max;psi_11;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8833;0,9997;;;;;;1;1;0,9987;1;1;0,9695;0,7038;0,7187
max;psi_11;6;6;RG;1-50;RG;51-100;2000;TRUE;0,881;0,9997;;;;;;1;1;0,9987;1;1;0,9689;0,6973;0,7182
max;psi_12;2;2;RG;1-50;RG;51-100;2000;TRUE;0,3005;0,0214;;;;;;0,0596;0,0339;0,0135;0,0059;0,0106;0,0939;0,7062;0,5145
max;psi_12;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8452;0,9735;;;;;;0,9404;0,9492;0,9811;0,987;0,9915;0,9402;0,7354;0,8163
max;psi_12;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8863;0,9858;;;;;;0,9675;0,9692;0,9879;0,9976;0,9958;0,96;0,6926;0,8246
max;psi_12;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8902;0,9855;;;;;;0,9639;0,9676;0,9906;0,9976;0,9958;0,9608;0,773;0,8394
max;psi_13;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8024;0,6471;;;;;;0,6751;0,6872;0,6739;0,5957;0,6282;0,6875;0,9982;0,8523
max;psi_13;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7941;0,6685;;;;;;0,7094;0,698;0,6779;0,6206;0,66;0,7011;0,999;0,8396
max;psi_13;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8413;0,7304;;;;;;0,7653;0,7427;0,7574;0,7009;0,7066;0,7592;0,9982;0,8637
max;psi_13;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8886;0,7459;;;;;;0,7762;0,7781;0,7655;0,7258;0,7087;0,783;0,9949;0,8756
max;psi_14;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9458;0,9965;;;;;;0,9874;0,9954;0,9973;1;0,9989;0,9834;0,8156;0,9008
max;psi_14;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9458;0,9965;;;;;;0,9874;0,9954;0,9973;1;0,9989;0,9834;0,8156;0,9008
max;psi_14;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9458;0,9965;;;;;;0,9874;0,9954;0,9973;1;0,9989;0,9834;0,8156;0,9008
max;psi_14;5;5;RG;1-50;RG;51-100;2000;TRUE;0,984;1;;;;;;1;1;1;1;1;0,9958;0,998;0,9722
max;psi_15;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7346;0,9084;;;;;;0,8394;0,8829;0,9057;0,9468;0,9343;0,8633;0,5793;0,6925
max;psi_15;4;4;RG;1-50;RG;51-100;947;TRUE;0,9985;0,9981;;;;;;0,9982;1;0,9973;0,9976;0,9979;0,9982;1;0,9897
max;psi_15;5;5;RG;1-50;RG;51-100;2000;TRUE;0,3844;0,0688;;;;;;0,1606;0,074;0,0674;0,0355;0,0424;0,1508;0,7959;0,5455
max;psi_15;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9779;0,9703;;;;;;0,9585;0,963;0,9623;0,9787;0,9809;0,9723;0,9939;0,9658
max;psi_15;7;7;RG;1-50;RG;51-100;2000;TRUE;0,9977;0,9968;;;;;;0,9964;0,9969;0,996;0,9976;0,9968;0,997;1;0,983
max;psi_16;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8703;0,9957;;;;;;0,9856;0,9985;0,9987;1;0,9936;0,9631;0,5957;0,7391
max;psi_16;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8696;0,9957;;;;;;0,9856;0,9985;0,9987;1;0,9936;0,9629;0,5957;0,7389
max;psi_16;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8703;0,9957;;;;;;0,9856;0,9985;0,9987;1;0,9936;0,9631;0,5957;0,7391
max;psi_16;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8703;0,9957;;;;;;0,9856;0,9985;0,9987;1;0,9936;0,9631;0,5957;0,7391
max;psi_16;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9458;0,9979;;;;;;0,9892;0,9985;0,9987;1;1;0,9843;0,8123;0,8746
sum;psi_1;2;2;RG;1-50;RG;51-100;2000;TRUE;0,5095;0,4967;;;;;;0,4838;0,5254;0,5202;0,4823;0,4788;0,5;0,3505;0,4963
sum;psi_1;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9703;0,9274;;;;;;0,9422;0,9615;0,9555;0,9031;0,8951;0,9386;0,8591;0,9631
sum;psi_1;4;4;RG;1-50;RG;51-100;1743;TRUE;0,9992;0,819;;;;;;0,9964;0,9692;0,8747;0,753;0,6271;0,8658;0,9899;0,9848
sum;psi_2;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9962;0,9989;;;;;;0,9982;0,9985;0,9973;1;1;0,9982;0,8666;0,9704
sum;psi_2;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8505;0,9794;;;;;;0,944;0,9815;0,9704;0,9976;0,9894;0,9459;0,3817;0,8333
sum;psi_2;4;4;RG;1-50;RG;51-100;1136;TRUE;0,9992;0,9888;;;;;;0,9856;0,9923;0,9757;0,9976;0,9905;0,9915;0,8945;0,9706
sum;psi_2;5;5;RG;1-50;RG;51-100;1543;TRUE;0,9756;0,9874;;;;;;0,9747;0,9908;0,9784;0,9976;0,9905;0,9843;0,8961;0,9313
sum;psi_3;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;1;0,9484
sum;psi_3;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;0,9889;0,9516
sum;psi_3;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;1;0,9484
sum;psi_3;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9405;0,9987;;;;;;0,991;1;1;1;1;0,9836;1;0,9484
sum;psi_3;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9886;0,9989;;;;;;0,9928;1;1;1;1;0,9962;1;0,9915
sum;psi_4;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8802;0,936;;;;;;0,9206;0,9045;0,9299;0,9444;0,964;0,9215;0,8245;0,9042
sum;psi_4;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8764;0,9357;;;;;;0,917;0,9045;0,9313;0,9444;0,964;0,9203;0,8356;0,9028
sum;psi_4;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8856;0,936;;;;;;0,9188;0,9045;0,9313;0,9444;0,964;0,9229;0,8141;0,8872
sum;psi_4;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8825;0,9365;;;;;;0,9188;0,906;0,9313;0,9444;0,965;0,9225;0,8251;0,8931
sum;psi_4;6;6;RG;1-50;RG;51-100;2000;TRUE;0,8841;0,936;;;;;;0,917;0,9045;0,9313;0,9444;0,965;0,9225;0,8356;0,919
sum;psi_5;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;1;0,9532
sum;psi_5;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9786;1;;;;;;1;1;1;1;1;0,9945;0,9391;0,9404
sum;psi_5;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;0,9992;0,9532
sum;psi_5;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9771;1;;;;;;1;1;1;1;1;0,9941;0,9895;0,9066
sum;psi_5;6;6;RG;1-50;RG;51-100;998;TRUE;0,9794;1;;;;;;1;1;1;1;1;0,9946;1;0,9536
sum;psi_6;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8635;0,9649;;;;;;0,8773;0,9461;0,9879;0,9929;0,9862;0,9386;0,5418;0,9125
sum;psi_6;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8772;0,9657;;;;;;0,8917;0,9476;0,9852;0,9894;0,9852;0,9427;0,9085;0,9151
sum;psi_6;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8963;0,9681;;;;;;0,9007;0,9445;0,9879;0,9929;0,9862;0,9495;0,9605;0,9281
sum;psi_6;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8398;0,9652;;;;;;0,8791;0,9461;0,9879;0,9929;0,9862;0,9326;0,8439;0,8965
sum;psi_6;6;6;RG;1-50;RG;51-100;2000;TRUE;0,8635;0,9649;;;;;;0,8773;0,9461;0,9879;0,9929;0,9862;0,9386;0,9046;0,9143
sum;psi_7;6;6;RG;1-50;RG;51-100;2000;TRUE;0,6423;0,653;;;;;;0,9675;0,6826;0,6644;0,5236;0,5551;0,6502;0,6874;0,6105
sum;psi_7;7;7;RG;1-50;RG;51-100;2000;TRUE;0,9069;0,6062;;;;;;1;0,6918;0,7116;0,1998;0,5975;0,6843;0,8538;0,6923
sum;psi_7;8;8;RG;1-50;RG;51-100;2000;TRUE;0,807;0,6718;;;;;;0,9747;0,6872;0,7116;0,4019;0,6939;0,7069;0,7127;0,6235
sum;psi_7;9;9;RG;1-50;RG;51-100;2000;TRUE;0,9603;0,6059;;;;;;1;0,6918;0,7116;0,1998;0,5964;0,698;0,314;0,6727
sum;psi_7;10;10;RG;1-50;RG;51-100;2000;TRUE;0,9436;0,6062;;;;;;1;0,6918;0,7116;0,1998;0,5975;0,6938;0,7552;0,6842
sum;psi_8;6;6;RG;1-50;RG;51-100;2000;TRUE;0,8574;0,9971;;;;;;0,9801;1;1;1;1;0,9608;0,9998;0,8681
sum;psi_8;7;7;RG;1-50;RG;51-100;2000;TRUE;0,939;0,9984;;;;;;0,9892;1;1;1;1;0,983;0,9492;0,9481
sum;psi_8;8;8;RG;1-50;RG;51-100;2000;TRUE;0,9962;0,9973;;;;;;0,9819;1;1;1;1;0,997;0,9757;0,9538
sum;psi_8;9;9;RG;1-50;RG;51-100;2000;TRUE;0,9245;0,9981;;;;;;0,9874;1;1;1;1;0,979;0,947;0,9504
sum;psi_8;10;10;RG;1-50;RG;51-100;820;TRUE;0,9786;0,9981;;;;;;0,9874;1;1;1;1;0,9931;0,9518;0,9834
sum;psi_9;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9634;0,9534;;;;;;0,9874;0,9676;0,9636;0,9267;0,9396;0,956;0,9822;0,9536
sum;psi_9;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7521;0,2795;;;;;;0,4224;0,3405;0,2466;0,2943;0,1663;0,4023;0,9642;0,7883
sum;psi_9;4;4;RG;1-50;RG;51-100;2000;TRUE;0,7521;0,2726;;;;;;0,4224;0,3405;0,2466;0,2766;0,1547;0,3971;0,9642;0,7851
sum;psi_9;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8177;0,7971;;;;;;0,7419;0,7735;0,7776;0,7754;0,8803;0,8024;0,9617;0,873
sum;psi_10;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,8147;0,969;0,9068
sum;psi_10;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8253;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,8074;0,9374;0,8463
sum;psi_10;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,7845;;;;;;0,7419;0,7874;0,7965;0,7884;0,7945;0,8024;0,9704;0,9044
sum;psi_10;5;5;RG;1-50;RG;51-100;2000;TRUE;0,6964;0,8011;;;;;;0,7419;0,7874;0,7965;0,7908;0,8581;0,7739;0,6507;0,5254
sum;psi_11;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9413;0,9997;;;;;;0,9982;1;1;1;1;0,9845;0,8552;0,9259
sum;psi_11;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9359;1;;;;;;1;1;1;1;1;0,9834;0,3446;0,8084
sum;psi_11;4;4;RG;1-50;RG;51-100;2000;TRUE;0,2113;0,0024;;;;;;0,0036;0;0,0013;0;0,0064;0,0567;0,3069;0,4979
sum;psi_11;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9306;1;;;;;;1;1;1;1;1;0,982;0,7216;0,9161
sum;psi_11;6;6;RG;1-50;RG;51-100;1594;TRUE;0,8619;0,9997;;;;;;0,9982;1;1;1;1;0,9639;0,3606;0,843
sum;psi_12;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9519;0,9922;;;;;;0,9874;0,9861;0,9919;0,9976;0,9947;0,9818;0,8996;0,9532
sum;psi_12;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9275;0,9877;;;;;;0,9783;0,9753;0,9919;0,9941;0,9926;0,9721;0,9012;0,9415
sum;psi_12;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9443;0,989;;;;;;0,9838;0,9738;0,9892;0,9976;0,9947;0,9774;0,9461;0,9467
sum;psi_12;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8665;0,9866;;;;;;0,9729;0,9707;0,9892;0,9941;0,9968;0,9554;0,7856;0,8872
sum;psi_13;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8154;0,7622;;;;;;0,8231;0,7966;0,7817;0,7092;0,7352;0,7761;0,9413;0,8294
sum;psi_13;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7818;0,7108;;;;;;0,7834;0,7149;0,7305;0,6844;0,6737;0,7293;0,7192;0,792
sum;psi_13;4;4;RG;1-50;RG;51-100;1833;TRUE;1;0,849;;;;;;0,9874;0,9599;0,8881;0,8215;0,6854;0,8882;0,999;0,9757
sum;psi_13;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9863;0,8493;;;;;;0,9404;0,9076;0,8868;0,8014;0,7691;0,8849;0,8949;0,9255
sum;psi_14;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9565;0,9979;;;;;;0,991;0,9969;0,9987;1;1;0,9871;0,8261;0,9054
sum;psi_14;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9184;0,9965;;;;;;0,9874;0,9954;0,9973;1;0,9989;0,9762;0,8236;0,857
sum;psi_14;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9458;0,9965;;;;;;0,9874;0,9954;0,9973;1;0,9989;0,9834;0,8156;0,9008
sum;psi_14;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9458;0,9965;;;;;;0,9874;0,9954;0,9973;1;0,9989;0,9834;0,8156;0,9008
sum;psi_15;3;3;RG;1-50;RG;51-100;2000;TRUE;0,8513;0,9438;;;;;;0,8899;0,9245;0,9407;0,9669;0,9703;0,9197;0,8336;0,8361
sum;psi_15;4;4;RG;1-50;RG;51-100;2000;TRUE;0,8345;0,9408;;;;;;0,8664;0,9307;0,9394;0,9657;0,9703;0,9132;0,7785;0,8305
sum;psi_15;5;5;RG;1-50;RG;51-100;2000;TRUE;0,8535;0,9422;;;;;;0,8664;0,9322;0,9434;0,9681;0,9693;0,9191;0,7925;0,8343
sum;psi_15;6;6;RG;1-50;RG;51-100;2000;TRUE;0,8291;0,9416;;;;;;0,8664;0,926;0,942;0,9704;0,9703;0,9124;0,7787;0,8242
sum;psi_15;7;7;RG;1-50;RG;51-100;2000;TRUE;0,8268;0,9406;;;;;;0,8682;0,9307;0,938;0,9657;0,9693;0,911;0,7882;0,8134
sum;psi_16;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9382;0,9981;;;;;;0,9946;0,9985;0,9987;0,9976;1;0,9826;0,8935;0,8615
sum;psi_16;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9367;0,9979;;;;;;0,9892;0,9985;0,9987;1;1;0,982;0,7412;0,8406
sum;psi_16;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9542;0,9979;;;;;;0,9892;0,9985;0,9987;1;1;0,9865;0,8419;0,8529
sum;psi_16;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9359;0,9979;;;;;;0,9892;0,9985;0,9987;1;1;0,9818;0,5957;0,8702
sum;psi_16;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9291;0,9979;;;;;;0,9892;0,9985;0,9987;1;1;0,98;0,5957;0,8529
mean;psi_1;2;2;RG;1-50;RG;51-100;223;TRUE;0,9962;1;;;;;;1;1;1;1;1;0,999;1;0,9941
mean;psi_1;7;7;RG;1-50;RG;51-100;2000;TRUE;0,5095;0,4964;;;;;;0,4838;0,5254;0,5202;0,4823;0,4778;0,4998;0,3505;0,4973
mean;psi_1;3;3;RG;1-50;RG;51-100;1657;TRUE;0,9931;1;;;;;;1;1;1;1;1;0,9982;1;0,9812
mean;psi_1;10;10;RG;1-50;RG;51-100;2000;TRUE;0,5095;0,4964;;;;;;0,4838;0,5254;0,5202;0,4823;0,4778;0,4998;0,3505;0,4973
mean;psi_1;4;4;RG;1-50;RG;51-100;331;TRUE;0,9924;1;;;;;;1;1;1;1;1;0,998;0,7609;0,9899
mean;psi_1;13;13;RG;1-50;RG;51-100;2000;TRUE;0,5095;0,4964;;;;;;0,4838;0,5254;0,5202;0,4823;0,4778;0,4998;0,3505;0,4973
mean;psi_2;2;2;RG;1-50;RG;51-100;2000;TRUE;0,8696;0,9799;;;;;;0,9495;0,9815;0,969;0,9976;0,9894;0,9512;0,6137;0,8284
mean;psi_2;7;7;RG;1-50;RG;51-100;1201;TRUE;0,9924;1;;;;;;1;1;1;1;1;0,998;0,9887;0,9737
mean;psi_2;3;3;RG;1-50;RG;51-100;2000;TRUE;0,7849;0,977;;;;;;0,9404;0,9815;0,969;0,9976;0,9831;0,9271;0,6137;0,6875
mean;psi_2;10;10;RG;1-50;RG;51-100;638;TRUE;0,9977;0,9989;;;;;;1;1;0,9973;1;0,9979;0,9986;1;0,9901
mean;psi_2;4;4;RG;1-50;RG;51-100;1650;TRUE;0,9748;0,9997;;;;;;1;1;0,9987;1;1;0,9933;1;0,9502
mean;psi_2;13;13;RG;1-50;RG;51-100;2000;TRUE;0,9985;0,9997;;;;;;1;1;1;0,9988;1;0,9994;0,8364;0,9791
mean;psi_2;5;5;RG;1-50;RG;51-100;1871;TRUE;0,9969;0,9997;;;;;;1;1;1;1;0,9989;0,999;1;0,9785
mean;psi_2;16;16;RG;1-50;RG;51-100;2000;TRUE;0,8505;0,9791;;;;;;0,944;0,9815;0,969;0,9976;0,9894;0,9457;0,6137;0,8187
mean;psi_3;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9367;0,9987;;;;;;0,991;1;1;1;1;0,9826;0,9255;0,9435
