aggregation,formula,dimension,layers,training_mask,testing_mask,total_graphs,total_positive,total_negative,tries,train_total_correct,train_ratio_correct,train_total_positive_correct,train_ratio_positive_correct,train_total_negative_correct,train_ratio_negative_correct,test_total_correct,test_ratio_correct,test_total_positive_correct,test_ratio_positive_correct,test_total_negative_correct,test_ratio_negative_correct,accuracies_by_neighbor_ranges,num_epochs,progress
max,psi_0,1,1,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36856,37526,1,74382,1.0,35054,1.0,39328,1.0,74382,1.0,36856,1.0,37526,1.0,"  [  0-  4] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  5-  9] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 10- 14] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 15- 19] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 24] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",1,"Epoch 001
Loss: 0.1831 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 35054/35054 (100.00%) 
Test Positive Acc:  36856/36856 (100.00%) 
Train Negative Acc: 39328/39328 (100.00%) 
Test Negative Acc:  37526/37526 (100.00%) 

"
sum,psi_0,1,1,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36856,37526,1,74382,1.0,35054,1.0,39328,1.0,74382,1.0,36856,1.0,37526,1.0,"  [  0-  4] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  5-  9] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 10- 14] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 15- 19] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 24] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",1,"Epoch 001
Loss: 0.1092 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 35054/35054 (100.00%) 
Test Positive Acc:  36856/36856 (100.00%) 
Train Negative Acc: 39328/39328 (100.00%) 
Test Negative Acc:  37526/37526 (100.00%) 

"
mean,psi_0,1,1,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36856,37526,1,74382,1.0,35054,1.0,39328,1.0,74382,1.0,36856,1.0,37526,1.0,"  [  0-  4] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  5-  9] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 10- 14] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 15- 19] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 24] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",1,"Epoch 001
Loss: 0.1599 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 35054/35054 (100.00%) 
Test Positive Acc:  36856/36856 (100.00%) 
Train Negative Acc: 39328/39328 (100.00%) 
Test Negative Acc:  37526/37526 (100.00%) 

"
max,psi_1,4,4,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,50653,23729,1,73497,0.9881,50819,1.0,22678,0.9624,73496,0.9881,50653,1.0,22843,0.9627,"  [  0-  4] root neighbors | graphs=17710 | accuracy=0.9500 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9237061913372944
  [  5-  9] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 10- 14] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 15- 19] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 24] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.4451 
Train Acc: 69248/74382 (93.10%) 
Test Acc:  68235/74382 (91.74%) 
Train Positive Acc: 50819/50819 (100.00%) 
Test Positive Acc:  50653/50653 (100.00%) 
Train Negative Acc: 18429/23563 (78.21%) 
Test Negative Acc:  17582/23729 (74.09%) 

Epoch 002
Loss: 0.0349 
Train Acc: 73497/74382 (98.81%) 
Test Acc:  73496/74382 (98.81%) 
Train Positive Acc: 50819/50819 (100.00%) 
Test Positive Acc:  50653/50653 (100.00%) 
Train Negative Acc: 22678/23563 (96.24%) 
Test Negative Acc:  22843/23729 (96.27%) 

Epoch 003
Loss: 0.0086 
Train Acc: 73497/74382 (98.81%) 
Test Acc:  73496/74382 (98.81%) 
Train Positive Acc: 50819/50819 (100.00%) 
Test Positive Acc:  50653/50653 (100.00%) 
Train Negative Acc: 22678/23563 (96.24%) 
Test Negative Acc:  22843/23729 (96.27%) 

Epoch 004
Loss: 0.0050 
Train Acc: 73497/74382 (98.81%) 
Test Acc:  73496/74382 (98.81%) 
Train Positive Acc: 50819/50819 (100.00%) 
Test Positive Acc:  50653/50653 (100.00%) 
Train Negative Acc: 22678/23563 (96.24%) 
Test Negative Acc:  22843/23729 (96.27%) 

Epoch 005
Loss: 0.0036 
Train Acc: 73497/74382 (98.81%) 
Test Acc:  73496/74382 (98.81%) 
Train Positive Acc: 50819/50819 (100.00%) 
Test Positive Acc:  50653/50653 (100.00%) 
Train Negative Acc: 22678/23563 (96.24%) 
Test Negative Acc:  22843/23729 (96.27%) 

"
mean,psi_1,4,4,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,50653,23729,1,72321,0.9723,49687,0.9777,22634,0.9606,71954,0.9674,49170,0.9707,22784,0.9602,"  [  0-  4] root neighbors | graphs=17710 | accuracy=0.9500 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9237061913372944
  [  5-  9] root neighbors | graphs=17710 | accuracy=0.9973 | accuracy_on_positive=0.9982901807523205 | accuracy_on_negative=0.9950257921886514
  [ 10- 14] root neighbors | graphs=17710 | accuracy=0.9806 | accuracy_on_positive=0.9769562451403124 | accuracy_on_negative=0.9949480774628122
  [ 15- 19] root neighbors | graphs=17710 | accuracy=0.9504 | accuracy_on_positive=0.9423140825413704 | accuracy_on_negative=0.9958693203154337
  [ 20- 24] root neighbors | graphs=3542 | accuracy=0.9235 | accuracy_on_positive=0.912987012987013 | accuracy_on_negative=0.9935064935064936
",5,"Epoch 001
Loss: 0.4782 
Train Acc: 63900/74382 (85.91%) 
Test Acc:  63506/74382 (85.38%) 
Train Positive Acc: 49863/50819 (98.12%) 
Test Positive Acc:  49711/50653 (98.14%) 
Train Negative Acc: 14037/23563 (59.57%) 
Test Negative Acc:  13795/23729 (58.14%) 

Epoch 002
Loss: 0.1743 
Train Acc: 70432/74382 (94.69%) 
Test Acc:  69803/74382 (93.84%) 
Train Positive Acc: 50514/50819 (99.40%) 
Test Positive Acc:  50309/50653 (99.32%) 
Train Negative Acc: 19918/23563 (84.53%) 
Test Negative Acc:  19494/23729 (82.15%) 

Epoch 003
Loss: 0.1283 
Train Acc: 72018/74382 (96.82%) 
Test Acc:  71564/74382 (96.21%) 
Train Positive Acc: 49707/50819 (97.81%) 
Test Positive Acc:  49102/50653 (96.94%) 
Train Negative Acc: 22311/23563 (94.69%) 
Test Negative Acc:  22462/23729 (94.66%) 

Epoch 004
Loss: 0.1076 
Train Acc: 73179/74382 (98.38%) 
Test Acc:  72643/74382 (97.66%) 
Train Positive Acc: 50503/50819 (99.38%) 
Test Positive Acc:  49801/50653 (98.32%) 
Train Negative Acc: 22676/23563 (96.24%) 
Test Negative Acc:  22842/23729 (96.26%) 

Epoch 005
Loss: 0.0932 
Train Acc: 72321/74382 (97.23%) 
Test Acc:  71954/74382 (96.74%) 
Train Positive Acc: 49687/50819 (97.77%) 
Test Positive Acc:  49170/50653 (97.07%) 
Train Negative Acc: 22634/23563 (96.06%) 
Test Negative Acc:  22784/23729 (96.02%) 

"
sum,psi_1,4,4,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,50653,23729,2,74382,1.0,50819,1.0,23563,1.0,74382,1.0,50653,1.0,23729,1.0,"  [  0-  4] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  5-  9] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 10- 14] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 15- 19] root neighbors | graphs=17710 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 24] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",1,"Epoch 001
Loss: 0.2042 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 50819/50819 (100.00%) 
Test Positive Acc:  50653/50653 (100.00%) 
Train Negative Acc: 23563/23563 (100.00%) 
Test Negative Acc:  23729/23729 (100.00%) 

"
max,psi_2,7,7,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,14025,60357,1,74382,1.0,14739,1.0,59643,1.0,74382,1.0,14025,1.0,60357,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",2,"Epoch 001
Loss: 0.2362 
Train Acc: 68184/74382 (91.67%) 
Test Acc:  67591/74382 (90.87%) 
Train Positive Acc: 11718/14739 (79.50%) 
Test Positive Acc:  10332/14025 (73.67%) 
Train Negative Acc: 56466/59643 (94.67%) 
Test Negative Acc:  57259/60357 (94.87%) 

Epoch 002
Loss: 0.0703 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 14739/14739 (100.00%) 
Test Positive Acc:  14025/14025 (100.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

"
sum,psi_2,7,7,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,14025,60357,3(#001.txt),66603,0.8954,10889,0.7388,55714,0.9341,67126,0.9024,10665,0.7604,56461,0.9355,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8812 | accuracy_on_positive=1.0 | accuracy_on_negative=0.8491529981177736
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.8997 | accuracy_on_positive=1.0 | accuracy_on_negative=0.8646537765501476
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9574 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9467982031181186
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9158 | accuracy_on_positive=0.5379310344827586 | accuracy_on_negative=0.9843241891103144
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8634 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8814 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.2504 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 002
Loss: 0.1067 
Train Acc: 60112/74382 (80.82%) 
Test Acc:  60819/74382 (81.77%) 
Train Positive Acc: 469/14739 (3.18%) 
Test Positive Acc:  462/14025 (3.29%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 003
Loss: 0.0604 
Train Acc: 63891/74382 (85.90%) 
Test Acc:  64504/74382 (86.72%) 
Train Positive Acc: 5135/14739 (34.84%) 
Test Positive Acc:  5032/14025 (35.88%) 
Train Negative Acc: 58756/59643 (98.51%) 
Test Negative Acc:  59472/60357 (98.53%) 

Epoch 004
Loss: 0.0391 
Train Acc: 69173/74382 (93.00%) 
Test Acc:  69526/74382 (93.47%) 
Train Positive Acc: 11617/14739 (78.82%) 
Test Positive Acc:  11259/14025 (80.28%) 
Train Negative Acc: 57556/59643 (96.50%) 
Test Negative Acc:  58267/60357 (96.54%) 

Epoch 005
Loss: 0.0203 
Train Acc: 66603/74382 (89.54%) 
Test Acc:  67126/74382 (90.24%) 
Train Positive Acc: 10889/14739 (73.88%) 
Test Positive Acc:  10665/14025 (76.04%) 
Train Negative Acc: 55714/59643 (93.41%) 
Test Negative Acc:  56461/60357 (93.55%) 

"
mean,psi_2,7,7,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,14025,60357,3(#002.txt),59643,0.8018,0,0.0,59643,1.0,60357,0.8114,0,0.0,60357,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.7875 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.7410 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.8013 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.8465 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8634 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8814 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.4975 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 002
Loss: 0.4855 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 003
Loss: 0.4847 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 004
Loss: 0.4841 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 005
Loss: 0.4836 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

"
max,psi_3,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,40713,33669,3(#004.txt),54732,0.7358,35545,0.8654,19187,0.5761,54590,0.7339,35248,0.8658,19342,0.5745,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.7284 | accuracy_on_positive=0.0000 | accuracy_on_negative=0.75
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.5781 | accuracy_on_positive=0.7974522292993631 | accuracy_on_negative=0.468915204060055
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.7027 | accuracy_on_positive=0.8440495422724825 | accuracy_on_negative=0.433954536145812
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.7818 | accuracy_on_positive=0.8726565263530244 | accuracy_on_negative=0.4223776223776224
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8279 | accuracy_on_positive=0.892472240365774 | accuracy_on_negative=0.415625
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8504 | accuracy_on_positive=0.9032258064516129 | accuracy_on_negative=0.4105263157894737
",5,"Epoch 001
Loss: 0.4260 
Train Acc: 50441/74382 (67.81%) 
Test Acc:  50347/74382 (67.69%) 
Train Positive Acc: 39542/41075 (96.27%) 
Test Positive Acc:  39608/40713 (97.29%) 
Train Negative Acc: 10899/33307 (32.72%) 
Test Negative Acc:  10739/33669 (31.90%) 

Epoch 002
Loss: 0.4142 
Train Acc: 51495/74382 (69.23%) 
Test Acc:  51467/74382 (69.19%) 
Train Positive Acc: 39542/41075 (96.27%) 
Test Positive Acc:  39608/40713 (97.29%) 
Train Negative Acc: 11953/33307 (35.89%) 
Test Negative Acc:  11859/33669 (35.22%) 

Epoch 003
Loss: 0.4043 
Train Acc: 54732/74382 (73.58%) 
Test Acc:  54590/74382 (73.39%) 
Train Positive Acc: 35545/41075 (86.54%) 
Test Positive Acc:  35248/40713 (86.58%) 
Train Negative Acc: 19187/33307 (57.61%) 
Test Negative Acc:  19342/33669 (57.45%) 

Epoch 004
Loss: 0.3993 
Train Acc: 54732/74382 (73.58%) 
Test Acc:  54590/74382 (73.39%) 
Train Positive Acc: 35545/41075 (86.54%) 
Test Positive Acc:  35248/40713 (86.58%) 
Train Negative Acc: 19187/33307 (57.61%) 
Test Negative Acc:  19342/33669 (57.45%) 

Epoch 005
Loss: 0.3953 
Train Acc: 54732/74382 (73.58%) 
Test Acc:  54590/74382 (73.39%) 
Train Positive Acc: 35545/41075 (86.54%) 
Test Positive Acc:  35248/40713 (86.58%) 
Train Negative Acc: 19187/33307 (57.61%) 
Test Negative Acc:  19342/33669 (57.45%) 

"
